NAME,STATEFP,STATE_ABBR,SCOPE,CATEGORY,OWNER_CLASS,ITEM_TYPE,DATASET_NAME,SOURCE_ACCREDITATION,URL,DATA_AGE,DESCRIPTION,APPLICABLE_SYSTEM_TYPES,MIN_SYSTEM_SIZE_MW,MAX_SYSTEM_SIZE_MW,COST,STATUS,EFFECTIVE_DATE,EXPIRY_DATE,TIMEFRAME_DAYS
,,,federal,incentive,,,USDA - Rural Energy for America Program (REAP) Loan Guarantees,,https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-improvement-guaranteed-loans,,"Program-level record for a solar incentive available in United States, categorized as Loan Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,federal,incentive,,,Business Energy Investment Tax Credit (ITC),,https://www.irs.gov/credits-deductions/clean-electricity-investment-credit,,"Program-level record for a solar incentive available in United States, categorized as Corporate Tax Credit. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,expired,,,
,,,federal,incentive,,,USDA - Rural Energy for America Program (REAP) Grants,,https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-improvement-grants,,"Program-level record for a solar incentive available in United States, categorized as Grant Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,federal,incentive,,,Modified Accelerated Cost-Recovery System (MACRS),,https://www.irs.gov/publications/p946,,"Program-level record for a solar incentive available in United States, categorized as Corporate Depreciation. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,4000000.0,expired,,,292
,,,federal,incentive,,,Residential Energy Conservation Subsidy Exclusion (Corporate),,https://www.irs.gov/publications/p525,,"Program-level record for a solar incentive available in United States, categorized as Corporate Tax Exemption. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,3000.0,expired,"December 22, 2017",,30
,,,federal,incentive,,,U.S. Department of Energy - Loan Guarantee Program,,https://www.energy.gov/lpo/loan-programs-office,,"Program-level record for a solar incentive available in United States, categorized as Loan Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,26.0,expired,,,
,,,federal,incentive,,,Residential Renewable Energy Tax Credit,,https://www.irs.gov/credits-deductions/residential-clean-energy-credit,,"Program-level record for a solar incentive available in United States, categorized as Personal Tax Credit. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,500.0,expired,,,
,,,federal,incentive,,,USDA - Rural Energy for America Program (REAP) Energy Audit and Renewable Energy Development Assistance (EA/REDA) Program,,https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-energy-audit-and-renewable-energy-development-assistance,,"Program-level record for a solar incentive available in United States, categorized as Grant Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,federal,incentive,,,Residential Energy Conservation Subsidy Exclusion (Personal),,https://www.irs.gov/publications/p525,,"Program-level record for a solar incentive available in United States, categorized as Personal Tax Exemption. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,3000.0,expired,"December 22, 2017",,30
,,,federal,incentive,,,USDA - High Energy Cost Grant Program,,https://www.rd.usda.gov/programs-services/electric-programs/high-energy-cost-grant-program,,"Program-level record for a solar incentive available in United States, categorized as Grant Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,federal,incentive,,,Energy-Efficient Mortgages,,https://www.hud.gov/buying/loans,,"Program-level record for a solar incentive available in United States, categorized as Loan Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,,,federal,incentive,,,Fannie Mae Green Financing – Loan Program,,https://multifamily.fanniemae.com/financing-options/specialty-financing/green-financing,,"Program-level record for a solar incentive available in United States, categorized as Loan Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,federal,incentive,,,Office of Indian Energy Policy and Programs - Funding Opportunities,,https://www.energy.gov/indianenergy/funding,,"Program-level record for a solar incentive available in United States, categorized as Grant Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,,,federal,incentive,,,Energy-Efficient Commercial Buildings Tax Deduction,,https://www.irs.gov/credits-deductions/energy-efficient-commercial-buildings-deduction,,"Program-level record for a solar incentive available in United States, categorized as Corporate Tax Deduction. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,0.5,expired,,,
,,,federal,incentive,,,Residential Energy Efficiency Tax Credit,,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit,,"Program-level record for a solar incentive available in United States, categorized as Personal Tax Credit. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,3200.0,expired,,,
,,,federal,incentive,,,Qualified Commercial Clean Vehicle Tax Credit,,https://www.irs.gov/credits-deductions/commercial-clean-vehicle-credit,,"Program-level record for a solar incentive available in United States, categorized as Corporate Tax Credit. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,40000.0,expired,,,
,,,federal,incentive,,,Alternative Fuel Vehicle Refueling Property Tax Credit (Corporate),,https://www.irs.gov/credits-deductions/alternative-fuel-vehicle-refueling-property-credit,,"Program-level record for a solar incentive available in United States, categorized as Corporate Tax Credit. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,1000.0,expired,,,
,,,federal,incentive,,,Low Income Home Energy Assistance Program (LIHEAP),,https://www.acf.hhs.gov/ocs/programs/liheap,,"Program-level record for a solar incentive available in United States, categorized as Grant Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,,,federal,incentive,,,Plug-In Electric Drive Vehicle Tax Credit,,https://www.irs.gov/credits-deductions/clean-vehicle-credit,,"Program-level record for a solar incentive available in United States, categorized as Personal Tax Credit. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,federal,incentive,,,Previously-Owned Clean Vehicle Tax Credit,,https://www.irs.gov/credits-deductions/used-clean-vehicle-credit,,"Program-level record for a solar incentive available in United States, categorized as Personal Tax Credit. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,25000.0,expired,,,
,,,federal,incentive,,,Alternative Fuel Vehicle Refueling Property Tax Credit (Personal),,https://www.irs.gov/credits-deductions/alternative-fuel-vehicle-refueling-property-credit,,"Program-level record for a solar incentive available in United States, categorized as Personal Tax Credit. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,1000.0,expired,,,
,,,federal,incentive,,,Weatherization Assistance Program (WAP),,https://www.energy.gov/scep/wap/weatherization-assistance-program,,"Program-level record for a solar incentive available in United States, categorized as Grant Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,372.0,active,,,
,,,federal,incentive,,,Energy-Efficient Appliance Manufacturing Tax Credit,,https://www.irs.gov/credits-deductions/credits-for-manufacturers-of-energy-efficient-appliances,,"Program-level record for a solar incentive available in United States, categorized as Industry Recruitment/Support. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,federal,incentive,,,"USDA - Biorefinery, Renewable Chemical, and Biobased Product Manufacturing Assistance Program",,https://www.rd.usda.gov/programs-services/business-programs/biorefinery-renewable-chemical-and-biobased-product-manufacturing-assistance-program,,"Program-level record for a solar incentive available in United States, categorized as Loan Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,unknown,incentive,,,,,https://www.dsireusa.org/,,State-specific incentive sources and summary references used to organize state-by-state solar incentive programs beyond the directly mapped program rows above.,,,,,active,,,
,,,unknown,incentive,,,Non-residential renewable energy solutions,,https://programs.dsireusa.org/system/program/detail/22451/non-residential-renewable-energy-solutions,,"Program-level record for a solar incentive available in the applicable jurisdiction, categorized as Net metering. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,expired,,,
,,,unknown,incentive,,,State incentives overview - See https://www.energy.gov/scep/slsc/renewable-energy-utility-scale-policies-and-programs,,https://www.energy.gov/scep/slsc/renewable-energy-utility-scale-policies-and-programs,,"Program-level record for a solar incentive available in the applicable jurisdiction. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,,,federal,incentive,,,DSIRE API,,https://www.dsireusa.org/dsire-api/,,"National API or structured service providing policy and incentive records for renewable energy, efficiency, storage, and related technologies across U.S. jurisdictions.",,,,,active,,,
,,,unknown,incentive,,,OpenEI Incentives API,,https://apps.openei.org/services/,,Public DOE / NREL API gateway exposing incentive and policy records for renewable and efficiency programs.,,,,,active,,,
,,,federal,incentive,,,OpenEI Utility Rate Database (URDB) API,,https://apps.openei.org/services/,,National utility-rate and tariff API that can be joined to serving utilities for customer-bill and compensation modeling.,,,,,active,,,
,,,federal,incentive,,,IRS Energy Communities Feature Layer,,https://services5.arcgis.com/V5xqUDxoOJurLR4H/ArcGIS/rest/services/IRS_Energy_Communities/FeatureServer/0,,Geospatial layer identifying federal energy-community geographies that may affect tax-credit eligibility or bonus treatment.,,,,,active,,,
,,,unknown,incentive,,,DOE / NETL Energy Communities Layers,,https://arcgis.netl.doe.gov/server/rest/services/Hosted/2024_Coal_Closure_Energy_Communities/FeatureServer,,DOE / NETL energy-community geospatial services covering coal-closure and statistical-area eligibility layers.,,,,,active,,,
,,,federal,permit,,,Section 404 Permit (FED-USACE-404),,https://www.usace.army.mil/Missions/Civil-Works/Regulatory-Program-and-Permits/,,"US Army Corps of Engineers (USACE) Regulatory Program overview describing federal permitting authorities and permit types related to activities affecting waters of the United States, including Section 404 (dredge and fill) and related regulatory guidance.",,,,,error,,,
,,,unknown,permit,,,Section 404 Permit (FED-USACE-404),,https://www.usace.army.mil/Missions/Civil-Works/Regulatory-Program-and-Permits/,,Some AquaPV projects may trigger federal authorization depending on site conditions and in-water impacts. This source supports federal permit applicability screening and links users to authoritative guidance.,,,,,error,,,
,,,unknown,permit,,,Section 404 Permit (FED-USACE-404),,https://www.usace.army.mil/Missions/Civil-Works/Regulatory-Program-and-Permits/Obtain-a-Permit/,,"USACE guidance explaining how to apply for a regulatory permit, including process steps, coordination expectations, and application resources.",,,,,error,,,
,,,federal,permit,,,Section 10 Permit (FED-USACE-10),,https://www.usace.army.mil/Missions/Civil-Works/Regulatory-Program-and-Permits/Section-10/,,USACE guidance on Section 10 permitting under the Rivers and Harbors Act for structures or work in or affecting navigable waters of the United States.,,,,,error,,,
,,,unknown,permit,,,Section 10 Permit (FED-USACE-10),,https://www.usace.army.mil/Missions/Civil-Works/Regulatory-Program-and-Permits/Obtain-a-Permit/,,"USACE guidance explaining how to apply for a regulatory permit, including process steps, coordination expectations, and application resources.",,,,,error,,,
,,,federal,permit,,,EPA NPDES permitting source,,https://www.epa.gov/npdes,,"Official permitting or permitting-adjacent source for United States. Typically includes permit pathways, agency jurisdiction, application guidance, compliance requirements, and supporting permitting references relevant to solar or water-adjacent infrastructure.",,,,,amended,,,
,,,unknown,permit,,,401 Water Quality Certification (CA-SWRCB-401),,https://www.waterboards.ca.gov/resources/fees/water_quality/,,Water Board fee schedule and cost guidance related to water quality certifications and other Water Board permitting activities.,,,,,pending,,,
,,,unknown,permit,,,Construction General Permit (CA-SWRCB-CGP),,https://smarts.waterboards.ca.gov/,,"Storm Water Multiple Application and Report Tracking System (SMARTS) used for CGP enrollment, document submission, reporting, and compliance tracking.",,,,,active,,,
